method,detector,attack,description,n_images,PSNR,SSIM,bit_accuracy,AUROC,TPR_at_1pct_FPR
dct-dwt,blind_pn_rho,identity,no distortion,5,94.99868893139988,0.9999999954241149,0.507421875,0.6,0.2
dct-dwt,blind_pn_rho,rotation,rotate 22.5 deg (wmbench rel=0.5),5,11.890904835703958,0.33817292711048597,0.4908203125,0.72,0.4
dct-dwt,blind_pn_rho,resized_crop,"random resized crop scale 0.75, square",5,15.079257413983683,0.577727924495796,0.492578125,0.27999999999999997,0.0
dct-dwt,blind_pn_rho,erasing,random erasing 12.5% area,5,14.863391280424562,0.6512644344553847,0.5056640625,0.8400000000000001,0.6
dct-dwt,blind_pn_rho,brightness,brightness factor 1.5,5,13.254422106529827,0.8832171786610106,0.5021484375,0.76,0.2
dct-dwt,blind_pn_rho,contrast,contrast factor 1.5,5,21.11757024145088,0.9320210860817786,0.5009765625,0.48,0.2
dct-dwt,blind_pn_rho,blur,Gaussian blur radius 4 px,5,27.64700845955101,0.9683721204064181,0.5078125,0.6599999999999999,0.0
dct-dwt,blind_pn_rho,resize_90,resize to 90% then back,5,42.75738504459316,0.9986542725110658,0.4921875,0.43999999999999995,0.0
dct-dwt,blind_pn_rho,jpeg_q50,JPEG quality 50,5,35.19699803013768,0.9938949937730286,0.510546875,0.92,0.6
dct-dwt,blind_pn_rho,crop,center crop 85% then resize back,5,16.53980129923999,0.7012002064009513,0.5091796875,0.56,0.2
dct-dwt,blind_pn_rho,gaussian,additive Gaussian noise sigma=25 (0-255 scale),5,23.76756040514512,0.9427337507029214,0.4935546875,0.39999999999999997,0.0
dct-dwt,blind_pn_rho,combo_geometric,rotation 22.5 -> resized_crop 0.75,5,13.061913290370516,0.38043709969628575,0.507421875,0.7200000000000001,0.2
dct-dwt,blind_pn_rho,combo_photometric,brightness 1.5 -> contrast 1.5,5,12.656757101512913,0.7876716927135885,0.5037109375,0.8400000000000001,0.6
dct-dwt,blind_pn_rho,combined,crop 85% -> JPEG Q50 -> Gaussian sigma=15,5,16.260913366590994,0.6867722535325074,0.5009765625,0.44,0.0
