iteration,alpha,beta,psnr_mean_db,ncc_tw,ncc_sig,psnr_ok
1,0.015,0.00025,58.883188,0.944965,0.371354,True
2,0.015,0.00177778,57.348317,0.998269,-0.566849,True
3,0.015,0.00330556,54.645554,0.999607,0.706416,True
4,0.015,0.00483333,52.486872,0.999850,0.283948,True
5,0.015,0.00636111,50.496438,0.999903,0.638713,True
6,0.015,0.00788889,48.903845,0.999917,0.251187,True
7,0.015,0.00941667,47.425186,0.999948,0.789212,False
8,0.015,0.0109444,46.238855,0.999962,0.641242,False
9,0.015,0.0124722,45.160659,0.999973,0.696296,False
10,0.015,0.014,44.185954,0.999979,0.752072,False
11,0.0288889,0.00025,58.882713,0.945432,0.403914,True
12,0.0288889,0.00177778,57.333548,0.998255,-0.428870,True
13,0.0288889,0.00330556,54.616568,0.999627,0.799068,True
14,0.0288889,0.00483333,52.449176,0.999849,0.629561,True
15,0.0288889,0.00636111,50.453912,0.999910,0.824734,True
16,0.0288889,0.00788889,48.856209,0.999911,0.650141,True
17,0.0288889,0.00941667,47.379728,0.999946,0.894314,False
18,0.0288889,0.0109444,46.191104,0.999965,0.866171,False
19,0.0288889,0.0124722,45.113685,0.999973,0.893235,False
20,0.0288889,0.014,44.136176,0.999978,0.918680,False
21,0.0427778,0.00025,58.882166,0.946074,0.431432,True
22,0.0427778,0.00177778,57.318731,0.998274,-0.272375,True
23,0.0427778,0.00330556,54.585905,0.999633,0.856292,True
24,0.0427778,0.00483333,52.411852,0.999853,0.787602,True
25,0.0427778,0.00636111,50.413510,0.999909,0.895256,True
26,0.0427778,0.00788889,48.808072,0.999912,0.834163,True
27,0.0427778,0.00941667,47.337116,0.999947,0.938204,False
28,0.0427778,0.0109444,46.143854,0.999963,0.928941,False
29,0.0427778,0.0124722,45.067807,0.999972,0.948148,False
30,0.0427778,0.014,44.085804,0.999979,0.964462,False
31,0.0566667,0.00025,58.881664,0.947042,0.462973,True
32,0.0566667,0.00177778,57.304108,0.998292,-0.091451,True
33,0.0566667,0.00330556,54.555779,0.999648,0.895303,True
34,0.0566667,0.00483333,52.373618,0.999854,0.869575,True
35,0.0566667,0.00636111,50.372225,0.999905,0.929973,True
36,0.0566667,0.00788889,48.761959,0.999913,0.902513,True
37,0.0566667,0.00941667,47.293111,0.999947,0.960494,False
38,0.0566667,0.0109444,46.096498,0.999959,0.954261,False
39,0.0566667,0.0124722,45.021861,0.999975,0.973624,False
40,0.0566667,0.014,44.037743,0.999982,0.981679,False
41,0.0705556,0.00025,58.881120,0.947110,0.487336,True
42,0.0705556,0.00177778,57.289799,0.998272,0.092319,True
43,0.0705556,0.00330556,54.526497,0.999656,0.920264,True
44,0.0705556,0.00483333,52.337013,0.999849,0.911028,True
45,0.0705556,0.00636111,50.332292,0.999905,0.949724,True
46,0.0705556,0.00788889,48.715392,0.999913,0.937740,True
47,0.0705556,0.00941667,47.248831,0.999946,0.972292,False
48,0.0705556,0.0109444,46.050377,0.999961,0.972091,False
49,0.0705556,0.0124722,44.976331,0.999975,0.982327,False
50,0.0705556,0.014,43.988344,0.999984,0.989908,False
51,0.0844444,0.00025,58.880614,0.947869,0.510986,True
52,0.0844444,0.00177778,57.275233,0.998294,0.265239,True
53,0.0844444,0.00330556,54.496719,0.999662,0.939317,True
54,0.0844444,0.00483333,52.299757,0.999852,0.940163,True
55,0.0844444,0.00636111,50.293575,0.999902,0.962173,True
56,0.0844444,0.00788889,48.668252,0.999912,0.954999,True
57,0.0844444,0.00941667,47.206172,0.999950,0.980129,False
58,0.0844444,0.0109444,46.003689,0.999962,0.980138,False
59,0.0844444,0.0124722,44.930856,0.999975,0.987329,False
60,0.0844444,0.014,43.939732,0.999984,0.992898,False
61,0.0983333,0.00025,58.880115,0.948297,0.532030,True
62,0.0983333,0.00177778,57.260235,0.998306,0.426214,True
63,0.0983333,0.00330556,54.467466,0.999664,0.950339,True
64,0.0983333,0.00483333,52.264439,0.999847,0.953045,True
65,0.0983333,0.00636111,50.253258,0.999898,0.969510,True
66,0.0983333,0.00788889,48.621120,0.999914,0.967875,True
67,0.0983333,0.00941667,47.164700,0.999952,0.984796,False
68,0.0983333,0.0109444,45.956268,0.999961,0.984966,False
69,0.0983333,0.0124722,44.884829,0.999974,0.990677,False
70,0.0983333,0.014,43.892220,0.999984,0.994607,False
71,0.112222,0.00025,58.879691,0.948860,0.550979,True
72,0.112222,0.00177778,57.244801,0.998323,0.556662,True
73,0.112222,0.00330556,54.439360,0.999673,0.958678,True
74,0.112222,0.00483333,52.227520,0.999847,0.965029,True
75,0.112222,0.00636111,50.213841,0.999904,0.977159,True
76,0.112222,0.00788889,48.573367,0.999919,0.977060,True
77,0.112222,0.00941667,47.123242,0.999953,0.987944,False
78,0.112222,0.0109444,45.910220,0.999962,0.988955,False
79,0.112222,0.0124722,44.839025,0.999973,0.992521,False
80,0.112222,0.014,43.844859,0.999983,0.995821,False
81,0.126111,0.00025,58.879133,0.949362,0.578224,True
82,0.126111,0.00177778,57.230152,0.998379,0.666615,True
83,0.126111,0.00330556,54.410970,0.999685,0.965801,True
84,0.126111,0.00483333,52.190549,0.999844,0.971854,True
85,0.126111,0.00636111,50.174555,0.999903,0.981148,True
86,0.126111,0.00788889,48.525965,0.999919,0.981679,True
87,0.126111,0.00941667,47.081833,0.999954,0.990286,False
88,0.126111,0.0109444,45.864478,0.999961,0.990882,False
89,0.126111,0.0124722,44.793709,0.999973,0.994153,False
90,0.126111,0.014,43.797106,0.999984,0.996762,False
91,0.14,0.00025,58.878682,0.949814,0.598285,True
92,0.14,0.00177778,57.214176,0.998373,0.739807,True
93,0.14,0.00330556,54.384207,0.999688,0.971909,True
94,0.14,0.00483333,52.152792,0.999843,0.975752,True
95,0.14,0.00636111,50.134243,0.999906,0.985360,True
96,0.14,0.00788889,48.480968,0.999921,0.985686,True
97,0.14,0.00941667,47.039649,0.999952,0.991723,False
98,0.14,0.0109444,45.818865,0.999962,0.992870,False
99,0.14,0.0124722,44.747869,0.999974,0.995030,False
100,0.14,0.014,43.750420,0.999983,0.997086,False
