alpha,beta,psnr_mean_db,ncc_tw,ncc_sig_biores
0.02,0.0005,71.8509,-0.0933,-0.3172
0.02,0.001,65.8303,-0.0933,-0.3172
0.02,0.002,59.8097,-0.0933,-0.3172
0.02,0.004,53.7891,-0.0933,-0.3172
0.02,0.006,50.2672,-0.0933,-0.3172
0.02,0.008,47.7685,-0.0933,-0.3172
0.02,0.01,45.8304,-0.0933,-0.3172
0.04,0.0005,71.8509,-0.0927,-0.3136
0.04,0.001,65.8303,-0.0927,-0.3136
0.04,0.002,59.8097,-0.0927,-0.3136
0.04,0.004,53.7891,-0.0927,-0.3136
0.04,0.006,50.2672,-0.0927,-0.3136
0.04,0.008,47.7685,-0.0927,-0.3136
0.04,0.01,45.8304,-0.0927,-0.3136
0.06,0.0005,71.8509,-0.0921,-0.3104
0.06,0.001,65.8303,-0.0921,-0.3104
0.06,0.002,59.8097,-0.0921,-0.3104
0.06,0.004,53.7891,-0.0921,-0.3104
0.06,0.006,50.2672,-0.0921,-0.3104
0.06,0.008,47.7685,-0.0921,-0.3104
0.06,0.01,45.8304,-0.0921,-0.3104
0.08,0.0005,71.8509,-0.0915,-0.3072
0.08,0.001,65.8303,-0.0915,-0.3072
0.08,0.002,59.8097,-0.0915,-0.3072
0.08,0.004,53.7891,-0.0915,-0.3072
0.08,0.006,50.2672,-0.0915,-0.3072
0.08,0.008,47.7685,-0.0915,-0.3072
0.08,0.01,45.8304,-0.0915,-0.3072
0.1,0.0005,71.8509,-0.0910,-0.3042
0.1,0.001,65.8303,-0.0910,-0.3042
0.1,0.002,59.8097,-0.0910,-0.3042
0.1,0.004,53.7891,-0.0910,-0.3042
0.1,0.006,50.2672,-0.0910,-0.3042
0.1,0.008,47.7685,-0.0910,-0.3042
0.1,0.01,45.8304,-0.0910,-0.3042
