Attack,Rank,Q@0.7P,Q@0.4P,Avg P,Avg Q,attack_key
Dist-Rotation,1,0.14310882861351704,0.14310882861351704,1.0,0.11796418075191402,distortion_single_rotation
Dist-RCrop,2,0.2098567245547684,0.2098567245547684,1.0,0.1878729495077819,distortion_single_resizedcrop
Dist-Erase,3,0.946781141116734,0.946781141116734,1.0,0.8442303896180003,distortion_single_erasing
Dist-Bright,4,0.9708249716301066,0.9708249716301066,1.0,0.826249048378178,distortion_single_brightness
Dist-Contrast,5,0.982591737849353,0.982591737849353,1.0,0.8705304759295108,distortion_single_contrast
Dist-Blur,6,0.3314437502904783,0.3314437502904783,1.0,0.2966879359970832,distortion_single_blurring
Dist-Noise,7,0.9273253821152371,0.9273253821152371,1.0,0.6796888855390699,distortion_single_noise
Dist-JPEG,8,0.937736963610678,0.937736963610678,1.0,0.8383797508042505,distortion_single_jpeg
Dist-Com-Geo,9,0.17073186972217952,0.17073186972217952,1.0,0.14072046633979224,distortion_combo_geometric
Dist-Com-Photo,10,0.9320273121621763,0.9320273121621763,1.0,0.6815260448209212,distortion_combo_photometric
Dist-Com-Deg,11,0.3044802408454774,0.3044802408454774,1.0,0.1886140576423651,distortion_combo_degradation
Dist-Com-All,12,0.21612776654570087,0.21612776654570087,1.0,0.15186752663315434,distortion_combo_all
Regen-Diffusion,13,0.936319981574268,0.936319981574268,1.0,0.7359735802832164,regen_diffusion
Regen-Diffusion&P,14,0.9272638275924878,0.9272638275924878,1.0,0.6038792564188914,regen_diffusion_prompt
Regen-VAE,15,0.936319981574268,0.936319981574268,1.0,0.7359735802832164,regen_vae
Regen-2xDiffusion,16,0.9338618746474172,0.9338618746474172,1.0,0.6500886054743559,2x_regen
Regen-4xDiffusion,17,0.9259564826558828,0.9259564826558828,1.0,0.5951620905948848,4x_regen
Regen-4xVAE,18,0.9259564826558828,0.9259564826558828,1.0,0.5951620905948848,4x_regen_bmshj
AdvEmb-RN18,19,0.8901798836017181,0.8901798836017181,1.0,0.8036871630241086,adv_emb_resnet18_untg
AdvEmb-CLIP,20,0.8901798836017181,0.8901798836017181,1.0,0.8036871630241086,adv_emb_clip_untg_alphaRatio_0.05_step_200
AdvEmb-KLVAE8,21,0.8901798836017181,0.8901798836017181,1.0,0.8036871630241086,adv_emb_same_vae_untg
AdvEmb-KLVAE16,22,0.8901798836017181,0.8901798836017181,1.0,0.8036871630241086,adv_emb_klf16_vae_untg
AdvEmb-SdxlVAE,23,0.8901798836017181,0.8901798836017181,1.0,0.8036871630241086,adv_emb_sdxl_vae_untg
AdvCls-UnWM-WM,24,0.8635322275639002,0.8635322275639002,1.0,0.7604066417227773,adv_cls_unwm_wm_0.01_50_warm_train3k
AdvCls-Real-WM,25,0.8635322275639002,0.8635322275639002,1.0,0.7604066417227773,adv_cls_real_wm_0.01_50_warm
AdvCls-WM1-WM2,26,0.8635322275639002,0.8635322275639002,1.0,0.7604066417227773,adv_cls_wm1_wm2_0.01_50_warm
