method,attack,n_strengths,avg_P,avg_Q,avg_PSNR,avg_SSIM,avg_NMI,avg_LPIPS,avg_FID,avg_CLIP_FID,avg_aesthetics_delta,avg_artifacts
flexible,Dist-Blur,5,0.4,0.47190190616903643,9.529709720569373,0.251186877280285,1.01350553671837,0.8578082915782929,545.1093362628608,119.38211629646955,nan,nan
flexible,Dist-Bright,5,1.0,0.33612936634806967,7.095132684903757,0.16512456660255187,1.0094704278283229,0.7273965824365616,518.7965929109822,123.03827923045442,nan,nan
flexible,Dist-Contrast,5,1.0,0.3486059774064173,7.542976046890845,0.1393367188103465,1.009671421482191,0.7413627363204955,454.4499531132366,125.21761466331945,nan,nan
flexible,Dist-Erase,5,1.0,0.4137728982649421,8.592906648096754,0.14517135690799993,1.0129961248515074,0.7344585794687271,530.5909141774337,126.00152319543182,nan,nan
flexible,Dist-JPEG,5,1.0,0.45358366057452565,8.964117002403146,0.166177085113712,1.0105559589714541,0.7200151085376739,480.55086795135895,122.87643275365008,nan,nan
flexible,Dist-Noise,5,1.0,0.3446629172483683,8.977022497971236,0.14896680340763108,1.0083140119123406,0.7382109832286835,511.7406251267927,118.8471926069896,nan,nan
flexible,Dist-RCrop,5,0.2,0.25599297903819185,nan,nan,1.0104701117843842,0.7185384623050689,488.51737524701474,128.70122423331242,nan,nan
flexible,Dist-Rotation,5,0.2,0.24643220227790358,nan,nan,1.011107212830928,0.7226089238405227,529.4156222403166,126.65252486978345,nan,nan
flexible,DistCom-All,5,0.2,0.28164900598675224,nan,nan,1.0133036362666226,0.8140012702941893,468.1561908894056,123.50910893221499,nan,nan
flexible,DistCom-Deg,5,0.4004,0.2768260130132679,nan,nan,1.014053285475292,0.8248635096311568,527.8948289910919,118.00989174997781,nan,nan
flexible,DistCom-Geo,5,0.2,0.24493252308370916,nan,nan,1.01150390918322,0.7147398108005523,525.2734437791537,130.67110616645073,nan,nan
flexible,DistCom-Photo,5,1.0,0.23885730287641396,nan,nan,1.0092271692617558,0.7417475286006927,508.0661445350109,123.07537078974852,nan,nan
