method,attack,n_strengths,avg_P,avg_Q_gen,avg_FID,avg_CLIP_FID,avg_aesthetics_delta,avg_artifacts
flexible,Dist-Blur,5,0.4,0.25095674779595606,545.1093362628608,119.38211629646955,nan,nan
flexible,Dist-Bright,5,1.0,0.23990233991386062,518.7965929109822,123.03827923045442,nan,nan
flexible,Dist-Contrast,5,1.0,0.30027641959604084,454.4499531132366,125.21761466331945,nan,nan
flexible,Dist-Erase,5,1.0,0.21870391271325915,530.5909141774337,126.00152319543182,nan,nan
flexible,Dist-JPEG,5,1.0,0.29502961428451463,480.55086795135895,122.87643275365008,nan,nan
flexible,Dist-Noise,5,1.0,0.3050237379229473,511.7406251267927,118.8471926069896,nan,nan
flexible,Dist-RCrop,5,0.2,0.21009241112002744,488.51737524701474,128.70122423331242,nan,nan
flexible,Dist-Rotation,5,0.2,0.17746172137146773,529.4156222403166,126.65252486978345,nan,nan
flexible,DistCom-All,5,0.2,0.3008184238430566,468.1561908894056,123.50910893221499,nan,nan
flexible,DistCom-Deg,5,0.4004,0.29330661605438924,527.8948289910919,118.00989174997781,nan,nan
flexible,DistCom-Geo,5,0.2,0.14978501240156078,525.2734437791537,130.67110616645073,nan,nan
flexible,DistCom-Photo,5,1.0,0.25427972316206465,508.0661445350109,123.07537078974852,nan,nan
