method,attack,rank,Q_gen@0.7P,Q_gen@0.4P,Avg_P,Avg_Q_gen,Avg_FID,Avg_CLIP_FID
flexible,Dist-Noise,1,inf,inf,1.0,0.3050237379229473,511.7406251267927,118.8471926069896
flexible,Dist-Contrast,2,inf,inf,1.0,0.30027641959604084,454.4499531132366,125.21761466331945
flexible,Dist-JPEG,3,inf,inf,1.0,0.29502961428451463,480.55086795135895,122.87643275365008
flexible,DistCom-Photo,4,inf,inf,1.0,0.25427972316206465,508.0661445350109,123.07537078974852
flexible,Dist-Bright,5,inf,inf,1.0,0.23990233991386062,518.7965929109822,123.03827923045442
flexible,Dist-Erase,6,inf,inf,1.0,0.21870391271325915,530.5909141774337,126.00152319543182
flexible,DistCom-All,7,0.3250995559612688,0.35956862844706594,0.2,0.3008184238430566,468.1561908894056,123.50910893221499
flexible,Dist-Blur,8,0.2872783825000266,0.2824229415763384,0.4,0.25095674779595606,545.1093362628608,119.38211629646955
flexible,DistCom-Deg,9,0.2720955655527608,0.25356064763005,0.4004,0.29330661605438924,527.8948289910919,118.00989174997781
flexible,Dist-Rotation,10,0.262814701217343,0.23349557901097132,0.2,0.17746172137146773,529.4156222403166,126.65252486978345
flexible,DistCom-Geo,11,0.22017618714248396,0.1482185508612532,0.2,0.14978501240156078,525.2734437791537,130.67110616645073
flexible,Dist-RCrop,12,0.21702968177627022,0.1419255401288257,0.2,0.21009241112002744,488.51737524701474,128.70122423331242
